               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12531,            0.066643,            0.038773,                   0,                   0,                   0,                   0,              0.1251,            0.069033,            0.041047,               9e-05,               9e-05,             0.09919
                   1,             0.12862,            0.070692,            0.039836,            0.013752,            0.019608,           0.0011727,          0.00013439,             0.12338,            0.071189,            0.040699,          0.00018996,          0.00018996,             0.09829
                   2,             0.12136,            0.068607,            0.038824,            0.053186,            0.019608,           0.0041924,           0.0014944,             0.11998,            0.076426,            0.040101,          0.00028974,          0.00028974,             0.09739
                   3,              0.1197,            0.079499,            0.038331,            0.030985,            0.036275,           0.0041484,          0.00094483,             0.11756,            0.078209,            0.039794,          0.00038922,          0.00038922,            0.096489
                   4,             0.11584,            0.079182,            0.037388,            0.079749,            0.019608,             0.01161,           0.0025067,              0.1153,            0.078036,             0.03966,          0.00048826,          0.00048826,            0.095588
                   5,             0.10918,            0.083802,            0.036057,            0.058989,             0.18878,            0.036414,           0.0058356,             0.11246,            0.077405,            0.039784,          0.00058673,          0.00058673,            0.094687
                   6,             0.10726,            0.085789,            0.036039,             0.13293,             0.14448,            0.071075,             0.01131,             0.11034,            0.069682,            0.040649,           0.0006845,           0.0006845,            0.093785
                   7,             0.10151,              0.0736,            0.037247,               0.133,             0.15683,            0.066324,           0.0098074,             0.10591,            0.067949,            0.040243,          0.00078144,          0.00078144,            0.092881
                   8,            0.098917,             0.07728,            0.037196,            0.094742,             0.23308,            0.060935,            0.010521,             0.10077,            0.066226,             0.04005,          0.00087742,          0.00087742,            0.091977
                   9,            0.093683,            0.071094,            0.035439,            0.084704,             0.31071,            0.069653,            0.011219,            0.099274,             0.06116,            0.039754,          0.00097231,          0.00097231,            0.091072
                  10,            0.091277,            0.069527,             0.03631,             0.15483,             0.28205,             0.12308,            0.019826,            0.097343,            0.058162,            0.040331,            0.001066,            0.001066,            0.090166
                  11,            0.088991,            0.060048,            0.037126,             0.35916,             0.42813,              0.1916,             0.03036,            0.098164,            0.056665,            0.039896,           0.0011583,           0.0011583,            0.089258
                  12,            0.097597,            0.069391,            0.035188,             0.30927,             0.43197,             0.27077,            0.042902,              0.0935,            0.055735,            0.039898,           0.0012492,           0.0012492,            0.088349
                  13,            0.083693,            0.074725,            0.033065,             0.23959,             0.58547,             0.26851,            0.049556,            0.090658,            0.055915,            0.039086,           0.0013386,           0.0013386,            0.087439
                  14,            0.082586,            0.076855,             0.02977,             0.26535,             0.53203,             0.30631,            0.068772,            0.085274,            0.055768,            0.038051,           0.0014262,           0.0014262,            0.086526
                  15,            0.076075,            0.064709,            0.032833,             0.24822,             0.51092,             0.27705,            0.061621,            0.080931,            0.055786,            0.036031,            0.001512,            0.001512,            0.085612
                  16,            0.073367,            0.070542,            0.030489,             0.22495,             0.34601,             0.23668,            0.064735,            0.089782,            0.054285,            0.034625,           0.0015959,           0.0015959,            0.084696
                  17,            0.074409,            0.071011,            0.028166,             0.21597,             0.64419,             0.35128,            0.098512,            0.075372,            0.054178,            0.033739,           0.0016778,           0.0016778,            0.083778
                  18,            0.067498,            0.061039,            0.029481,              0.2796,             0.58693,             0.34846,             0.11418,            0.085572,            0.050269,            0.033221,           0.0017576,           0.0017576,            0.082858
                  19,            0.075997,            0.068821,            0.029932,             0.27294,             0.63773,             0.37309,             0.10923,            0.083238,            0.051285,            0.032837,           0.0018352,           0.0018352,            0.081935
                  20,            0.069151,            0.058925,            0.028758,             0.38567,             0.64923,             0.44714,             0.12641,            0.074986,            0.051174,            0.031818,           0.0019104,           0.0019104,             0.08101
                  21,             0.07164,            0.064642,              0.0281,             0.40126,             0.62106,             0.52097,             0.16559,            0.078574,            0.050653,            0.031094,           0.0019832,           0.0019832,            0.080083
                  22,            0.068366,             0.07418,            0.028234,             0.43426,             0.58322,             0.54215,             0.13582,            0.073134,            0.052654,            0.030544,           0.0020535,           0.0020535,            0.079154
                  23,            0.065265,            0.061116,            0.026994,             0.26861,             0.58962,             0.35606,             0.10427,            0.083318,             0.05035,            0.029418,           0.0021212,           0.0021212,            0.078221
                  24,            0.076331,            0.063451,            0.026318,               0.459,             0.60577,             0.51815,             0.20278,            0.085428,            0.047798,             0.02835,           0.0021863,           0.0021863,            0.077286
                  25,            0.070967,            0.076973,            0.023773,             0.50245,              0.7987,             0.65391,             0.24633,            0.069697,            0.051396,            0.027587,           0.0022486,           0.0022486,            0.076349
                  26,            0.063197,            0.074798,            0.025759,             0.60362,             0.70858,             0.63963,             0.22667,            0.073675,            0.050878,            0.026847,           0.0023081,           0.0023081,            0.075408
                  27,            0.069653,            0.070899,            0.024517,             0.43721,             0.89688,             0.59259,             0.22589,            0.072739,            0.049046,            0.026121,           0.0023648,           0.0023648,            0.074465
                  28,            0.069585,            0.052461,            0.024546,             0.36798,             0.74648,             0.45342,             0.15388,            0.078442,            0.049644,            0.025126,           0.0024185,           0.0024185,            0.073518
                  29,            0.073802,            0.047428,            0.024698,             0.52397,             0.68046,             0.62152,             0.28115,            0.069281,            0.050516,            0.024838,           0.0024692,           0.0024692,            0.072569
                  30,            0.080098,             0.05726,            0.023648,             0.38745,             0.70643,             0.45295,             0.15927,            0.087516,            0.047368,            0.024908,           0.0025168,           0.0025168,            0.071617
                  31,            0.078804,            0.076536,            0.021456,              0.4788,             0.66751,              0.5958,             0.25878,            0.086825,            0.047196,            0.024327,           0.0025614,           0.0025614,            0.070661
                  32,            0.065905,            0.081279,            0.019109,             0.46949,             0.60653,             0.46862,             0.14341,            0.087352,            0.048146,             0.02409,           0.0026028,           0.0026028,            0.069703
